"Borough","Measurement","Postcode","Latitude","Longitude","Address","School.Name","Jan.Ave","Feb.Ave","Mar.Ave","Apr.Ave","May.Ave","Jun.Ave","Jul.Ave","Aug.Ave","Sep.Ave","Oct.Ave","Nov.Ave","Dec.Ave"
"Brooklyn","Electricity Demand (KW)",11221,40.688419,-73.924833,"794 Monroe St ","George E. Wibecan School",147,144,153.3,198.6,179.2,144,182.7,171.9,150.3,150,148.8,147.9
"Brooklyn","Electricity Usage (KWH)",11221,40.688419,-73.924833,"794 Monroe St ","George E. Wibecan School",50940,43830,47400,57540,39400,45200,56910,53550,49500,55470,51840,50340
"Brooklyn","Gas (Therms)",11221,40.688419,-73.924833,"794 Monroe St ","George E. Wibecan School",142.75,67.5,80.5,52.25,112.67,14.33,45.25,26,28.75,33.25,204.5,67.75
"Brooklyn","Total Usage (mmBTUs)",11221,40.688419,-73.924833,"794 Monroe St ","George E. Wibecan School",188.13,156.34,169.83,201.61,145.74,155.7,198.76,185.37,171.82,192.64,197.38,178.58
"Brooklyn","Electricity Demand (KW)",11212,40.668475,-73.912351,"111 Bristol St ","Dr. Rose B. English",235,251,361,503,370.67,428,439,384,261,241,235,246
"Brooklyn","Electricity Usage (KWH)",11212,40.668475,-73.912351,"112 Bristol St ","Dr. Rose B. English",66600,65800,74200,112700,141600,107333.33,106100,82200,76100,83300,76200,82000
"Brooklyn","Gas (Therms)",11212,40.668475,-73.912351,"113 Bristol St ","Dr. Rose B. English",32,181.5,57.25,120.75,23.33,85,13.5,241.25,49,167.75,53.75,111.5
"Brooklyn","Total Usage (mmBTUs)",11212,40.668475,-73.912351,"114 Bristol St ","Dr. Rose B. English",230.5,242.72,258.97,396.72,485.61,374.83,363.46,304.67,264.63,301.08,265.44,291.01
"Brooklyn","Electricity Demand (KW)",11215,40.669629,-73.979287,"237 7th Ave ","John Jay High School",326.5,326.5,342.5,411.75,347.33,336.33,357.5,342.75,338.5,324.75,319,328
"Brooklyn","Electricity Usage (KWH)",11215,40.669629,-73.979287,"237 7th Ave ","John Jay High School",120630,109620,124620,116490,107640,102120,110730,117360,117390,127110,117450,123390
"Brooklyn","Gas (Therms)",11215,40.669629,-73.979287,"237 7th Ave ","John Jay High School",3366.25,1362,610.25,140.25,81.67,129.67,65.25,439.75,2334,3414.25,5124.5,4857.75
"Brooklyn","Total Usage (mmBTUs)",11215,40.669629,-73.979287,"237 7th Ave ","John Jay High School",748.34,510.33,486.35,411.6,375.54,361.5,384.44,444.52,634.05,775.25,913.31,906.9
"Brooklyn","Electricity Demand (KW)",11207,40.674135,-73.89643,"145 Pennsylvania Ave ","William H. Maxwell High School?",378.86,435.98,479.08,676.62,675.49,579.07,675.12,505.06,385.14,388.44,388.02,376.08
"Brooklyn","Electricity Usage (KWH)",11207,40.674135,-73.89643,"145 Pennsylvania Ave ","William H. Maxwell High School?",126200,83500,117200,174400,171066.67,154666.67,172000,125900,114300,153900,148400,144100
"Brooklyn","Total Usage (mmBTUs)",11207,40.674135,-73.89643,"145 Pennsylvania Ave ","William H. Maxwell High School?",2512.69,1416.93,698.2,650.5,608.05,566.91,597.83,851.49,1730.6,3254.08,3627.86,3919.71
"Brooklyn","Electricity Demand (KW)",11209,40.619931,-74.028086,"415 89th St ","Brooklyn School District 20?",159,165,189,204,198,188,202.5,199.5,160.5,163.5,165,159
"Brooklyn","Electricity Usage (KWH)",11209,40.619931,-74.028086,"415 89th St ","Brooklyn School District 20?",62250,57600,68700,87450,84200,78400,80400,70800,63150,68100,67950,66600
"Brooklyn","Gas (Therms)",11209,40.619931,-74.028086,"415 89th St ","Brooklyn School District 20?",1834.5,962.75,2102.25,4720.5,8412.67,8360.67,5421.5,1930.5,1258.25,2847.5,3648,3118.25
"Brooklyn","Total Usage (mmBTUs)",11209,40.619931,-74.028086,"415 89th St ","Brooklyn School District 20?",395.91,292.86,444.69,770.51,1128.64,1103.64,816.55,434.69,341.35,517.17,596.71,539.13
"Brooklyn","Electricity Demand (KW)",11225,40.6701,-73.954972,"402 Eastern Pkwy ","Medger Evers Middle College",410,378,378,422,480,458.67,340,342,330,402,430,414
"Brooklyn","Electricity Usage (KWH)",11225,40.6701,-73.954972,"402 Eastern Pkwy ","Medger Evers Middle College",141000,104400,104200,116800,123733.33,120266.67,100800,97800,106000,157200,162600,159600
"Brooklyn","Gas (Therms)",11225,40.6701,-73.954972,"402 Eastern Pkwy ","Medger Evers Middle College",1950.75,441.25,126.25,0,0.67,0,20.25,58,441,823.25,1994,1148
"Brooklyn","Total Usage (mmBTUs)",11225,40.6701,-73.954972,"402 Eastern Pkwy ","Medger Evers Middle College",676.31,400.44,368.25,398.63,422.36,410.47,346.05,339.59,405.88,618.85,754.35,659.51
"Queens","Electricity Demand (KW)",11412,40.690828,-73.763907,"187-01 Foch Blvd ","Saint Albans School",151.8,140.8,124.6,139.8,135.47,109.6,143.4,150.2,151.2,155.6,157.4,153.2
"Queens","Electricity Usage (KWH)",11412,40.690828,-73.763907,"187-01 Foch Blvd ","Saint Albans School",51900,39000,32620,33160,37813.33,35200,32940,38520,39440,54660,65480,59960
"Queens","Gas (Therms)",11412,40.690828,-73.763907,"187-01 Foch Blvd ","Saint Albans School",692,130.25,204.25,190,246.67,117,195,80.25,258,113.75,299.75,122.25
"Queens","Total Usage (mmBTUs)",11412,40.690828,-73.763907,"187-01 Foch Blvd ","Saint Albans School",246.33,146.13,131.76,132.17,153.72,131.84,131.93,139.5,160.41,197.93,253.45,216.87
"Queens","Electricity Usage (KWH)",11385,40.703779,-73.896374,"60-85 Catalpa Ave ","Seneca School",76600,64900,67600,87200,84400,78400,78600,69700,82900,84200,81000,82400
"Queens","Gas (Therms)",11385,40.703779,-73.896374,"60-85 Catalpa Ave ","Seneca School",5627.5,3221.5,923.5,224,282.33,134.33,127.25,799.75,4066.25,7064.5,9630.75,7758.75
"Queens","Total Usage (mmBTUs)",11385,40.703779,-73.896374,"60-85 Catalpa Ave ","Seneca School",824.18,543.65,323.06,320.01,316.29,281.01,280.99,317.86,689.56,993.82,1239.52,1057.11
"Queens","Electricity Demand (KW)",11385,40.702513,-73.852566,"85-52 85th St ","Forest Park School",154,146,159,183,168,93.33,172,160,148,161,164,161
"Queens","Electricity Usage (KWH)",11385,40.702513,-73.852566,"85-52 85th St ","Forest Park School",47900,37000,34700,46700,26266.67,23466.67,38200,38100,43100,53500,51700,51500
"Queens","Gas (Therms)",11385,40.702513,-73.852566,"85-52 85th St ","Forest Park School",4333.5,4655.5,1329.75,556.25,299.67,238.67,98.25,1069.75,2818,5369.5,5299.75,7239.75
"Queens","Gas (Therms)",11691,40.593834,-73.76174,"160 Beach 29th St ","P.S.43Q",7420.25,3037.25,11557.75,3713.5,4180.67,506,684.25,5086.75,6871.75,21055,12955,20323.75
"Queens","Gas Cost ($)",11385,40.702513,-73.852566,"85-52 85th St ","Forest Park School",4802.09,5695.58,1572.61,892.39,608.83,524.51,333.89,1452.52,3238.02,6463.24,6070.21,8672.22
"Queens","Total Usage (mmBTUs)",11385,40.702513,-73.852566,"85-52 85th St ","Forest Park School",596.83,591.83,251.41,215.01,119.62,103.96,140.2,237.01,428.9,719.54,706.42,899.74
"Queens","Electricity Demand (KW)",11101,40.739254,-73.942447,"25-05 37th Ave ","Dutch Kills",109,109,126,144.5,139.33,96.67,144.5,134,118.5,115.5,114.5,110.5
"Queens","Electricity Usage (KWH)",11101,40.739254,-73.942447,"25-05 37th Ave ","Dutch Kills",32850,29610,32295,36120,31060,28140,30555,33135,32730,34710,32880,31575
"Queens","Gas (Therms)",11101,40.739254,-73.942447,"25-05 37th Ave ","Dutch Kills",36002,24039.5,21665.75,20480.5,25.33,129,70.5,4471.25,11251.75,13545,12316.75,37296.75
"Queens","Total Usage (mmBTUs)",11101,40.739254,-73.942447,"25-05 37th Ave ","Dutch Kills",3712.32,2505.01,2276.8,2171.33,108.54,108.94,111.33,560.22,1236.88,1472.96,1343.89,3837.44
"Queens","Electricity Demand (KW)",11418,40.695888,-73.833681,"89-30 114th St ","Richmond Hill High School",468,436.5,437,390,355.33,297.33,393.5,417.5,437,464.5,473,466
"Queens","Electricity Usage (KWH)",11418,40.695888,-73.833681,"89-30 114th St ","Richmond Hill High School",136200,115400,125350,121500,104400,97733.33,105300,115450,129500,147050,141800,144250
"Queens","Gas (Therms)",11418,40.695888,-73.833681,"89-30 114th St ","Richmond Hill High School",15.75,56,16.5,54,9.67,33.67,7.75,45.25,12.75,57.25,16,42.5
"Queens","Total Usage (mmBTUs)",11418,40.695888,-73.833681,"89-30 114th St ","Richmond Hill High School",466.42,399.46,429.47,420.08,357.28,336.93,360.16,398.55,443.26,507.6,485.56,496.57
"Queens","Electricity Demand (KW)",11691,40.593834,-73.76174,"160 Beach 29th St ","P.S.43Q",313.25,243.38,297.88,795.75,1143,691.17,1135.38,561.62,300.88,362.12,398.38,278.62
"Queens","Electricity Usage (KWH)",11691,40.593834,-73.76174,"160 Beach 29th St ","P.S.43Q",99605,118210,86200,124560,220333.33,247226.67,258420,140660,127350,133440,154490,151920
"Queens","Total Usage (mmBTUs)",11691,40.593834,-73.76174,"160 Beach 29th St ","P.S.43Q",1081.97,707.17,1449.97,796.47,1170.05,894.38,950.4,988.74,1121.82,2560.92,1822.77,2550.87
"Queens","Electricity Demand (KW)",11426,40.745948,-73.727456,"74-30 Commonwealth Blvd ","P.S.208Q",395.64,374.36,575.72,711.52,675.28,661.57,682.54,618.62,441.48,340.52,415.56,415.74
"Queens","Electricity Usage (KWH)",11426,40.745948,-73.727456,"74-30 Commonwealth Blvd ","P.S.208Q",131500,115500,151200,208400,221200,222133.33,172000,138000,115200,145900,160100,157000
